PassengerId,Survived,Pclass,Sex,Age,WithFamily,Kid,Youth,SinFare,Group,TicketHead,Embarked_C,Embarked_Q,Embarked_S,WithCabin
1,0.0,3,1,22.0,1,0,1,7.25,0,718,0,0,1,1
2,1.0,1,-1,38.0,1,0,0,35.64165,1,775,1,0,0,0
3,1.0,3,-1,26.0,0,0,1,7.925,0,802,0,0,1,1
4,1.0,1,-1,35.0,1,0,0,26.55,1,65,0,0,1,0
5,0.0,3,1,35.0,0,0,0,8.05,0,649,0,0,1,1
6,0.0,3,1,24.0,0,0,1,8.4583,0,373,0,1,0,1
7,0.0,1,1,54.0,0,0,0,25.93125,1,109,0,0,1,0
8,0.0,3,1,2.0,1,1,0,4.215,1,541,0,0,1,1
9,1.0,3,-1,27.0,1,0,1,3.7111,1,477,0,0,1,1
10,1.0,2,-1,14.0,1,1,0,15.0354,1,174,1,0,0,1
11,1.0,3,-1,4.0,1,1,0,5.566666666666666,1,781,0,0,1,0
12,1.0,1,-1,58.0,0,0,0,26.55,0,50,0,0,1,0
13,0.0,3,1,20.0,0,0,1,8.05,0,727,0,0,1,1
14,0.0,3,1,39.0,1,0,0,4.4678571428571425,1,459,0,0,1,1
15,0.0,3,-1,14.0,0,1,0,7.8542,0,566,0,0,1,1
16,1.0,2,-1,55.0,0,0,0,16.0,0,204,0,0,1,1
17,0.0,3,1,2.0,1,1,0,4.854166666666667,1,659,0,1,0,1
18,1.0,2,1,24.0,0,0,1,13.0,0,201,0,0,1,1
19,0.0,3,-1,31.0,1,0,0,9.0,1,417,0,0,1,1
20,1.0,3,-1,24.0,0,0,1,7.225,0,243,1,0,0,1
21,0.0,2,1,35.0,0,0,0,13.0,1,182,0,0,1,1
22,1.0,2,1,34.0,0,0,0,13.0,0,203,0,0,1,0
23,1.0,3,-1,15.0,0,1,0,8.0292,0,379,0,1,0,1
24,1.0,1,1,28.0,0,0,1,35.5,0,54,0,0,1,0
25,0.0,3,-1,8.0,1,1,0,4.215,1,541,0,0,1,1
26,1.0,3,-1,38.0,1,0,0,4.483928571428572,1,454,0,0,1,1
